"","ID","level","Zvalue","Pvalue","FDR","module","score","Nfixation","plant_pathogen","arbuscular_mycorrhizal","z.degree","moduleConect","Kingdom","Phylum","Class","Order","Family","Genus","Species","degree","betweenness","eigen","hubscore","reach2","reach3"
"Bac_00229","Bac_00229","Level 1",0.740238856441162,2.237,1,11,0,0,0,0,"NaN","0.5","Bacteria","Chloroflexi","KD4-96","Unidentified","Unidentified","Unidentified","Unidentified",2,0.00145971659774646,0.0135555626551472,0.013555562655147,0.0278745644599303,0.202090592334495
"Bac_00231","Bac_00231","Level 1",-1.36259930679498,0.843,1,7,-11,0,11,0,"-1.01528902803276","0","Bacteria","Actinobacteriota","Acidimicrobiia","IMCC26256","Unidentified","Unidentified","Unidentified",2,0,0.0180294907607636,0.018029490760762,0.0452961672473868,0.198606271777003
"Bac_00240","Bac_00240","Level 1",3.01487872850264,0.001,0.00398891966759003,6,-35,0,35,0,"-0.683882673223411","0","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Intrasporangiaceae","Phycicoccus","Unidentified",4,0.00273866250635721,0.269840614413213,0.269840614413213,0.146341463414634,0.372822299651568
"Bac_00246","Bac_00246","Level 1",0.839325674969581,1.98,1,7,-10,0,10,0,"-0.531366220278829","0.32","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Unidentified","Unidentified",5,0.000976875675244361,0.0648684804130945,0.0648684804130899,0.0905923344947735,0.278745644599303
"Bac_00248","Bac_00248","Level 1",7.37235285576001,0,0,1,-32,0,32,0,"-0.145455998231398","0","Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","WD2101 soil group","Unidentified","Unidentified",5,0.00149653428838483,0.0445240366871912,0.0445240366871911,0.0975609756097561,0.289198606271777
"Bac_00254","Bac_00254","Level 1",0.0636522857223451,4.872,1,7,0,0,0,0,"-0.773327624155795","0","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Vicinamibacter","Unidentified",3,0.000423516552854251,0.0264490009107944,0.026449000910792,0.0662020905923345,0.205574912891986
"Bac_00255","Bac_00255","Level 1",2.38499093188827,0.059,0.152531418312388,7,0,0,0,0,"-1.25725043190973","0","Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","WD2101 soil group","Unidentified","Unidentified",1,0,0.00176519718389519,0.00176519718389497,0.0104529616724739,0.0592334494773519
"Bac_00256","Bac_00256","Level 1",4.18184019750375,0,0,10,0,0,0,0,"-1.61137562772079","0","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","Unidentified","Unidentified",1,0,0.00219952128249327,0.0021995212824931,0.0209059233449477,0.0766550522648084
"Bac_00263","Bac_00263","Level 1",-4.21139595058022,0,0,10,-120,0,120,0,"1.19101676831537","0.48","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","SC-I-84","Unidentified","Unidentified",10,0.0138350908967951,0.038459248338743,0.0384592483387414,0.142857142857143,0.35191637630662
"Bac_00266","Bac_00266","Level 1",3.29276542111987,0,0,6,0,0,0,0,"-1.43900312490759","0","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Dactylosporangium","Unidentified",1,0,0.0584572060921184,0.0584572060921185,0.0452961672473868,0.233449477351916
"Bac_00270","Bac_00270","Level 1",3.27104318707369,0.003,0.0109644670050761,9,-186,0,189,0,"0.0878310065653679","0.493827160493827","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Unidentified","Unidentified","Unidentified",9,0.0178974602802315,0.093290517986723,0.0932905179867219,0.170731707317073,0.484320557491289
