OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
Fun_08618	Fungi	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium velox
Fun_08833	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys	Unidentified
Fun_08835	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Unidentified	Unidentified	Unidentified
Fun_09019	Fungi	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Unidentified
Fun_09020	Fungi	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Unidentified	Unidentified
Fun_09326	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unidentified	Unidentified
Fun_09328	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Unidentified	Unidentified	Unidentified
Fun_09427	Fungi	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Unidentified	Unidentified
Fun_09428	Fungi	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Unidentified	Unidentified
Fun_09429	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unidentified	Unidentified
Fun_09431	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusicolla	Fusicolla acetilerea
Fun_09655	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Unidentified
Fun_09656	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Unidentified
Fun_09820	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Unidentified
Fun_09821	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Lophotrichus	Lophotrichus sp. 1 RJ2014
Fun_09978	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Unidentified
Fun_09979	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Unidentified
Fun_10092	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Unidentified
Fun_10093	Fungi	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Unidentified
Fun_10094	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Unidentified
Fun_10201	Fungi	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Unidentified	Unidentified
Fun_10202	Fungi	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Unidentified	Unidentified
Fun_10317	Fungi	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Unidentified
Fun_10427	Fungi	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Unidentified	Unidentified
Fun_10586	Fungi	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Unidentified	Unidentified
Fun_10660	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Unidentified	Unidentified
Fun_10661	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Unidentified	Unidentified
Fun_10740	Fungi	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Unidentified
Fun_10940	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Plectosphaerella	Unidentified
Fun_10941	Fungi	Ascomycota	Sordariomycetes	Unidentified	Unidentified	Unidentified	Unidentified
Fun_10942	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Unidentified	Unidentified	Unidentified
Fun_11157	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	Unidentified
Fun_12151	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Trimorphomycetaceae	Saitozyma	Unidentified
Fun_12284	Fungi	Olpidiomycota	Olpidiomycetes	Olpidiales	Olpidiaceae	Olpidium	Olpidium brassicae
